FTRD,DRB,2P_D,TORD,ADJOE,CONF,SEED,2P_O,EFG_D,3P_O,EFG_O,TOR,ADJDE,FTR,TEAM,WAB,G,W,ADJ_T,ORB,YEAR,POSTSEASON,BARTHAG,3P_D
36.5,29.4,47.5,18.6,114.6,B12,9,51.2,49.1,34.1,51.2,19.7,99.2,32.3,Baylor,0.9,34,20,66.6,37.9,2019,R32,0.84,34.5
41,31.1,46.9,19,109.6,ASun,14,51.6,46.8,38.8,54,17.5,101.8,37.3,Mercer,-2.8,33,24,65.2,32,2014,R32,0.6993,31
31.6,25.6,48.1,19.4,109.5,MWC,11,49.6,47.6,38.9,53.2,16.1,96,32.4,Boise St.,0.2,32,23,63.4,27.8,2015,R68,0.821,31.3
39.3,32.2,50,19.5,109.9,P12,7,46.9,49.5,37.4,49.8,16.6,98.1,36.8,Oregon St.,0.3,31,18,68,29,2016,R64,0.788,32.4
33.4,27.4,42.3,18.6,105,Horz,13,48,45.2,38.4,51.3,19,94.5,36.6,Valparaiso,0.1,31,25,63.1,34.7,2015,R64,0.7706,33.4
34.1,31.8,48.3,17.9,105.2,ASun,16,51.1,47.9,38.1,53.6,18.3,105,39.7,North Florida,-5.1,32,20,67.5,29.2,2015,R68,0.5063,31.3
36.8,28.2,44.5,19.5,107.8,Horz,14,55.7,46.2,37.1,55.7,21.8,97.9,41.7,Valparaiso,-0.8,33,25,65.6,31.2,2013,R64,0.7514,33.8
40.3,27.5,43.5,17.7,119.6,B10,4,52.1,45.8,39.2,54.5,17.4,95.3,33.7,Michigan St.,6.9,38,29,66.2,32.9,2014,E8,0.9319,33.2
28.1,26,44.4,15.1,117.4,WCC,11,54.3,44.8,37.8,55.2,17.1,94.5,34.4,Gonzaga,2.1,35,27,68.2,32.1,2016,S16,0.9238,30.3
28,35.3,48.1,20.4,111.9,ACC,10,47.2,47.3,36,50,18.1,93.6,35.4,Syracuse,-0.3,37,23,65.5,33.5,2016,F4,0.8857,30.7
31.8,22.6,48,17,103.6,Ivy,16,53.3,47,34.8,52.9,16.6,97.6,33.4,Penn,-3.3,32,24,70.1,23.8,2018,R64,0.6644,30
29.8,31.2,48.9,15.8,106.1,SWAC,16,50.7,50.2,35.8,51.7,19.3,112.9,49.3,Texas Southern,-9.7,33,18,67.6,33.6,2014,R68,0.3293,35.6
37,27,51.3,19.6,117.7,BE,4,54.5,50.8,36.6,54.6,15,96.9,37.1,Butler,5.5,34,25,67.2,27.2,2017,S16,0.9038,33.3
30.5,29.3,45.1,20.9,112.3,Amer,7,47.6,48.6,34.5,49,16,93.8,37.6,Cincinnati,5.8,35,28,65,37.4,2019,R64,0.8871,35.5
29.5,28.2,43.6,20.7,113.6,B10,2,49.4,45.4,35.6,50.6,16.2,89.4,35.5,Ohio St.,7.2,37,29,65.3,31.8,2013,E8,0.9406,32.4
31.1,31.8,46.2,21.5,110,SEC,12,49.4,46.4,32.4,49.1,15.9,95.6,38.8,Mississippi,1.6,36,27,70.9,34.1,2013,R32,0.834,31.3
25.8,26.5,44.1,17.2,108.2,B10,5,49.7,45.2,35.9,51.1,14.6,88.6,27.3,Wisconsin,6.3,34,23,65,24.5,2019,R64,0.9089,31.5
35.2,27.4,47.2,20.9,111.6,A10,7,51,47.7,38.4,53.6,16.9,97,43.4,Dayton,1.5,31,24,69.6,25.6,2017,R64,0.8333,32.3
27,26.4,51.1,17.9,113.4,B10,11,52.6,51.4,38,54.5,14.5,99.4,27.8,Michigan,0.8,35,22,66.3,24.8,2016,R64,0.82,34.7
34.6,30.5,45,20.4,109.5,Amer,11,51.1,48.2,32.6,50.3,15.6,99.6,39.6,Tulsa,-1.2,32,20,69.4,28,2016,R68,0.7486,35.9
34.4,28.5,45.1,16.6,104.4,OVC,15,50.8,49.4,37.2,52.6,20.7,104.2,33.4,Jacksonville St.,-8,33,20,65,31.2,2017,R64,0.5054,37.8
41,32,45,20,115.6,B12,9,51.3,46.3,36.4,52.4,14.7,94.8,49.7,Oklahoma St.,1.4,34,21,69.2,28,2014,R64,0.9067,32.7
35.3,30.7,42.4,17.2,105.1,BW,13,47.8,44.7,38.2,50.7,18.2,96.8,30.2,UC Irvine,-4.6,32,19,63.9,30,2015,R64,0.7202,33.6
25.6,30,49.1,16.8,114.6,B12,10,53.3,51,35.9,53.5,17.3,99.5,33.2,Oklahoma,1.1,32,18,76.7,28.4,2018,R64,0.835,36.2
36.8,33.8,46.5,22.2,113.4,B12,4,46.8,47.5,35.8,49.1,18.2,94.5,31.7,Kansas St.,5.4,34,26,63,38.5,2013,R64,0.8896,33.3
34.3,29.8,48.5,19,104.1,MAC,14,48.5,50.1,31.7,48.2,17.9,102.9,32.5,Kent St.,-7.2,35,22,69.5,38.1,2017,R64,0.5322,35.3
37.8,28.7,48.8,17.7,105.1,MAC,14,49,49.8,33.7,49.6,18.8,102.4,41.6,Buffalo,-5.8,34,19,72.9,31.8,2016,R64,0.5746,34.3
40.2,27.9,46.1,17.1,113.9,Sum,12,55.4,49.8,34.7,54.5,15.6,103,41.6,North Dakota St.,0.2,30,23,64,30.6,2014,R32,0.7613,37.8
31.4,26.9,50.9,17.5,98,MEAC,16,51.3,49.9,31.5,49.9,22.7,108.3,33.5,North Carolina Central,-10.9,31,18,66.4,34.8,2019,R68,0.2414,32
32.5,25.8,42.1,18.4,114.6,ACC,1,49,44.2,36.9,50.8,16.5,89.5,42,Virginia,8.2,37,30,61.2,33.9,2014,S16,0.9449,32.3
31.1,24.6,47.8,15.2,110.5,Ivy,14,56,47.3,36.5,55.6,17.8,102.5,30.1,Yale,-0.9,29,22,72.2,26.3,2019,R64,0.7034,31
35.8,27.5,49.1,18.6,118.2,BE,9,49.9,49.7,39.3,52.6,14.5,98.6,39.3,Butler,2,33,22,69.2,32.2,2016,R32,0.8899,33.8
33.7,30.8,48.8,16.4,114.9,BE,11,46.5,48.9,34.7,48.3,17.3,100.4,41.9,Providence,1.2,35,22,64.9,35.3,2014,R64,0.8249,32.8
33.6,27.7,44.8,18.6,108.8,B10,7,46.6,48.1,34.9,48.5,17.1,93.5,38,Wisconsin,0.4,35,22,64.1,33.1,2016,S16,0.8509,37.4
36.7,33.2,42.8,20.2,112.6,B10,11,48.8,45.6,33.7,49.3,21.6,92.5,41.6,Minnesota,2.1,34,21,64.1,43.6,2013,R32,0.905,33.9
27.8,27.9,46,18.2,112.9,B12,4,52.6,47.8,35,52.6,18.8,92.4,32.5,Kansas,8.3,36,26,71.5,30.1,2019,R32,0.9092,33.6
30,29.7,45.3,18.6,121.5,B12,1,53.6,48.1,40.4,56.1,17.6,94.5,36,Kansas,11,36,31,71.4,34.1,2017,E8,0.9472,35.6
