fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5
7.9,0.22,0.38,8,0.043,46,152,0.9934,3.12,0.32,11.5,7
7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6
7.2,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,6
7,0.25,0.29,15.2,0.047,40,171,0.9982,3.22,0.45,9.3,5
7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,6
5.6,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,6
6.7,0.5,0.63,13.4,0.078,81,238,0.9988,3.08,0.44,9.2,5
6.8,0.28,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,6
7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,6
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5
6.9,0.19,0.28,5,0.058,14,146,0.9952,3.29,0.36,9.1,6
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6
5.9,0.62,0.28,3.5,0.039,55,152,0.9907,3.44,0.44,12,6
8.6,0.37,0.7,12.15,0.039,21,158,0.9983,3,0.73,9.3,6
5.7,0.28,0.24,17.5,0.044,60,167,0.9989,3.31,0.44,9.4,5
6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6
7.5,0.17,0.44,11.3,0.046,65,146,0.997,3.17,0.45,10,6
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5
6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2,5
6.1,0.28,0.25,12.9,0.054,34,189,0.9979,3.25,0.43,9,4
7.1,0.16,0.36,10.7,0.044,20,90,0.9959,3.16,0.44,10.9,7
7.3,0.13,0.32,14.4,0.051,34,109,0.9974,3.2,0.35,9.2,6
9.2,0.34,0.27,1.2,0.026,17,73,0.9921,3.08,0.39,10.8,5
5.9,0.24,0.26,12.3,0.053,34,134,0.9972,3.34,0.45,9.5,6
6,0.33,0.27,0.8,0.185,12,188,0.9924,3.12,0.62,9.4,5
6.2,0.24,0.29,13.3,0.039,49,130,0.9952,3.33,0.46,11,8
6.3,0.21,0.58,10,0.081,34,126,0.9962,2.95,0.46,8.9,5
8.3,0.28,0.4,7.8,0.041,38,194,0.9976,3.34,0.51,9.6,6
6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5
6.8,0.52,0.32,13.2,0.044,54,221,0.9972,3.27,0.5,9.6,6
5.8,0.2,0.3,1.5,0.031,21,57,0.99115,3.44,0.55,11,6
5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,7
6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7
5.9,0.29,0.25,12,0.057,48,224,0.9981,3.23,0.41,9,6
6.8,0.19,0.36,1.9,0.035,30,96,0.9917,3.15,0.54,10.8,7
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7
7.7,0.29,0.48,2.3,0.049,36,178,0.9931,3.17,0.64,10.6,6
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6
7.2,0.29,0.4,13.6,0.045,66,231,0.9977,3.08,0.59,9.6,6
6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7
6.5,0.14,0.33,7.6,0.05,53,189,0.9966,3.25,0.49,8.6,5
6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5
7,0.24,0.51,11,0.029,55,227,0.9965,3.03,0.61,9.5,5
6.7,0.19,0.36,1.1,0.026,63,143,0.9912,3.27,0.48,11,6
6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,8
6.8,0.28,0.6,1.1,0.132,42,127,0.9934,3.09,0.44,9.1,6
