Outcome,Distance,Quarter,Team,ScoreDiffPreKick
1,42,4,BUF,20
0,48,2,SEA,5
1,53,3,DAL,3
0,42,1,BUF,0
1,46,2,NYG,9
1,39,4,NO,1
1,52,3,CHI,10
1,50,4,CAR,15
1,46,4,NYJ,6
1,28,3,PIT,4
1,48,2,ARI,0
0,57,2,KC,-3
1,28,4,IND,31
1,28,2,ATL,-7
1,31,4,TEN,-24
1,45,2,NYJ,-10
1,21,4,NE,7
0,42,2,CIN,-10
1,44,2,SEA,10
1,30,2,IND,-14
1,22,1,NYJ,0
1,50,4,TB,-18
1,20,2,SD,-7
1,32,2,DET,0
0,51,2,MIA,-7
1,49,1,SD,0
1,27,1,NYJ,-10
1,54,1,MIN,0
1,42,2,SD,-11
1,24,1,OAK,-7
1,33,2,NYG,6
1,45,1,GB,0
1,49,2,ATL,-21
1,21,2,NYG,-7
1,25,2,PIT,11
0,46,3,MIA,14
0,45,4,DET,1
1,50,4,DEN,-3
1,42,4,BAL,18
1,48,3,PHI,-10
1,20,3,SD,11
1,37,2,BUF,-7
1,53,2,NE,11
1,41,2,CIN,15
0,51,5,SF,0
1,32,2,SEA,1
0,40,3,WAS,-26
1,26,2,PIT,-10
1,31,3,DEN,-19
0,37,2,SD,-8
0,47,4,DEN,18
1,29,3,PHI,-10
1,22,1,CAR,0
1,38,2,JAC,-28
1,20,5,GB,0
1,28,3,STL,-4
1,47,1,HOU,0
1,33,4,ARI,-5
1,39,3,WAS,10
1,35,1,BAL,7
1,44,2,SD,7
1,47,2,OAK,14
1,30,1,BAL,-3
1,43,3,HOU,15
1,38,1,WAS,0
1,33,4,SF,3
1,20,4,CAR,21
1,33,2,BAL,3
1,19,2,GB,-4
1,40,3,SEA,-4
1,27,4,MIN,0
0,49,2,HOU,14
1,50,2,ARI,21
0,61,2,OAK,-7
1,28,4,DEN,0
1,26,2,BUF,4
1,47,1,TB,-7
1,25,2,TEN,11
1,49,4,SF,18
1,35,4,TB,-11
1,34,1,NYG,0
0,39,2,NO,7
1,51,2,OAK,-10
1,33,1,TEN,-3
1,30,1,IND,-7
0,32,2,OAK,3
1,24,4,SF,28
0,37,3,NO,18
1,42,4,ARI,-10
1,38,2,DAL,0
1,39,3,ARI,15
1,23,3,JAC,-14
1,44,1,PIT,0
1,34,3,NYJ,11
1,54,4,CIN,0
1,30,1,GB,7
1,48,2,NO,-10
1,42,3,OAK,-4
1,28,1,CLE,3
1,46,5,BAL,0
