Weight,Hallux,Species
102,11.9,SS
1280,32.7,RT
95,12.4,SS
165,9.6,SS
100,11.8,SS
160,13.2,SS
1097,32.8,RT
93,11.2,SS
1010,29.0,RT
125,10.9,SS
1160,33.0,RT
200,15.3,SS
170,14.0,SS
1194,33.8,RT
1180,28.9,RT
1095,31.4,RT
90,11.3,SS
1350,32.8,RT
1540,35.5,RT
1250,30.5,RT
805,25.7,RT
390,20.4,CH
340,20.8,CH
100,11.3,SS
1165,33.1,RT
95,11.1,SS
1420,32.0,RT
1080,27.2,RT
475,24.75,CH
145,14.6,SS
1320,30.1,RT
919,28.5,RT
95,11.0,SS
540,28.8,CH
175,15.5,SS
1210,31.7,RT
895,31.0,RT
1010,29.7,RT
1120,31.6,RT
760,26.1,RT
1065,32.7,RT
156,14.1,SS
1120,30.2,RT
960,42.8,CH
975,30.3,RT
535,25.4,CH
965,24.1,RT
92,14.6,SS
971,26.1,RT
975,31.8,RT
1120,30.8,RT
165,14.1,SS
995,30.2,RT
950,30.5,RT
905,26.8,RT
85,11.4,SS
98,10.9,SS
146,14.9,SS
1270,33.0,RT
955,30.4,RT
1090,28.8,RT
785,25.0,RT
1120,30.9,RT
334,19.2,CH
1125,30.9,RT
1210,28.5,RT
1170,29.9,RT
1100,28.8,RT
185,14.3,SS
1059,30.5,RT
185,15.5,SS
1015,29.5,RT
365,22.5,CH
1210,308.0,RT
940,29.8,RT
201,14.9,SS
1320,31.6,RT
990,29.8,RT
175,14.8,SS
105,11.6,SS
1020,31.6,RT
1045,27.5,RT
1020,31.2,RT
1670,32.9,RT
175,14.0,SS
1310,31.9,RT
360,22.1,CH
1045,31.5,RT
850,30.0,RT
100,11.7,SS
1030,31.9,RT
980,29.3,RT
105,12.0,SS
1000,30.2,RT
925,30.8,RT
95,10.8,SS
1100,28.2,RT
1180,33.4,RT
95,11.6,SS
785,28.7,RT
