Age,Flight distance,Inflight Wi-Fi service,Convenient arrival/departure time,Ease of online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Check-in service,Inflight service,Cleanliness,Departure delay in minutes,Gender,Customer type,Type of travel,Eco,Eco plus,Satisfied
52,160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,0,0,0,1,0,1
36,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0,0,0,0,0,1
20,192,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0,1,1,0,1,0,0
44,3377,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0,1,0,0,0,0,1
49,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,0,0,0,1,0,1
16,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,1,0,0,1,0,1
77,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,0,0,0,0,0,1
43,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,0,0,0,0,0,1
47,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,1,0,0,1,0,1
46,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,0,0,0,0,0,1
47,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,0,0,0,1,0,1
33,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,0,0,0,0,0,0
46,1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0,0,0,0,0,1
60,451,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,0,0,0,0,0,1
52,925,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,0,0,0,0,0,1
50,83,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5,1,0,1,1,0,0
31,728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0,0,0,1,0,0
52,1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,1,0,1,0,1,1
43,1927,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,0,0,1,1,0,0
50,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0,0,0,0,0,1
60,612,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,1,0,0,0,0,1
43,1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,1,0,1,1,0,0
55,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,1,0,1,1,0,0
25,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,1,0,0,0,0,1
30,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0,1,0,1,0,0
62,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,1,0,1,1,0,0
24,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,1,0,0,0,0,1
22,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,0,0,0,1,0,1
44,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,1,0,0,0,0,1
51,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,1,0,0,1,0,0
43,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,1,0,1,0,0,0
56,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0,0,0,1,0,1
