Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor4,Class
61464,948.743,361.5067374,217.5064023,1.662051018,0.798747599,62161,279.7470203,0.789518304,0.988787182,0.858091332,0.773836256,0.005881601,0.001300983,0.598822552,0.995273632,CALI
56546,951.015,315.4936373,229.1241617,1.376954901,0.687441033,57830,268.3218278,0.768225416,0.977796991,0.785664299,0.850482533,0.005579416,0.001800653,0.723320539,0.995979761,BARBUNYA
187777,1674.447,638.4466932,376.9398753,1.69376268,0.807109712,190000,488.9632931,0.821206158,0.9883,0.841607213,0.765863929,0.003400026,0.000721553,0.586547558,0.993472364,BOMBAY
36143,736.997,299.8903167,154.194303,1.944885841,0.857688897,36592,214.5196888,0.761980056,0.987729558,0.83618548,0.715327161,0.008297328,0.001340099,0.511692947,0.995184367,HOROZ
62934,992.28,368.3417168,218.1674481,1.688344068,0.805720208,64268,283.0725305,0.678892353,0.979243169,0.803205593,0.768505216,0.005852825,0.00125931,0.590600266,0.997136456,BARBUNYA
24873,579.111,205.7128093,154.3199847,1.333027668,0.661242774,25155,177.9586671,0.771686523,0.988789505,0.931996766,0.865083063,0.008270527,0.002857223,0.748368705,0.99759619,DERMASON
54677,911.022,308.8539034,226.3985709,1.364204298,0.680198424,55858,263.8501821,0.753012629,0.978857102,0.827859835,0.854287996,0.005648699,0.001855861,0.729807979,0.995607182,BARBUNYA
24934,589.119,216.8434003,147.5652569,1.469474623,0.732733849,25262,178.1767516,0.721240346,0.987016072,0.902808751,0.821683996,0.008696695,0.002445419,0.675164589,0.99213723,DERMASON
48439,810.37,297.981992,207.3178381,1.4373196,0.718294206,48883,248.343412,0.79979856,0.990917088,0.926911612,0.833417518,0.006151696,0.001830733,0.694584759,0.998340287,BARBUNYA
39496,790.356,274.5507126,183.8462883,1.493370985,0.742698496,40281,224.2495687,0.727165608,0.980511904,0.794543116,0.816787422,0.006951355,0.00190847,0.667141692,0.996290046,SIRA
24310,573.919,211.3574092,146.6762133,1.44097945,0.720001581,24576,175.9330933,0.736555067,0.989176432,0.927456646,0.832396148,0.008694258,0.002574735,0.692883348,0.998430665,DERMASON
168736,1555.86,577.480835,372.935021,1.548475746,0.7635097,169852,463.5098142,0.746916914,0.993429574,0.875944485,0.802641033,0.003422393,0.000876183,0.644232628,0.9975786,BOMBAY
33447,664.412,226.1186154,188.7406408,1.198038824,0.550708725,33791,206.3638608,0.770224525,0.989819774,0.952120901,0.912635435,0.006760505,0.002892999,0.832903437,0.997850654,SEKER
63745,944.139,356.6672994,228.0424993,1.564038723,0.768898917,64278,284.8906014,0.788562168,0.991707894,0.898636624,0.798757278,0.00559522,0.001404935,0.63801319,0.997877335,CALI
