Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,Roundness,Compactness,Class
0.763205878,129274,403.8872417,0.782247133,0.991057753,0.870273946,0.801323883,BOMBAY
0.549812187,28715,190.1410973,0.763922518,0.988855999,0.958027126,0.913357755,SEKER
0.864911383,36969,215.8981855,0.636235662,0.990262111,0.821285574,0.707161692,HOROZ
0.779529536,44074,234.3173823,0.731985538,0.978399964,0.77130821,0.790532235,BARBUNYA
0.683293252,21191,163.29171,0.742360865,0.988249729,0.934453442,0.854141008,DERMASON
0.716650856,35370,210.4449835,0.769518373,0.983404015,0.832855502,0.834455123,SIRA
0.844264335,37093,215.5765372,0.745506536,0.984013156,0.83087263,0.728780886,HOROZ
0.821604177,57280,268.5139395,0.792185445,0.98859986,0.8355005,0.75386294,CALI
0.696795094,115298,380.9913399,0.748986604,0.988776909,0.875280258,0.844094027,BOMBAY
0.634654708,20684,161.2437642,0.790186518,0.987236511,0.931235461,0.878228437,DERMASON
0.799162267,51704,254.7089472,0.733805697,0.985494352,0.854260064,0.771481824,CALI
0.826042363,58471,270.6910833,0.788558509,0.984231499,0.836226215,0.745834084,CALI
0.77339676,21932,165.8448692,0.745282042,0.984953493,0.870766423,0.795330424,DERMASON
0.626723197,48528,246.6844357,0.738131274,0.984874712,0.864599066,0.882104118,BARBUNYA
0.469883494,31593,199.5413417,0.770322199,0.989839521,0.963425036,0.939237666,SEKER
0.785662138,32065,200.3278244,0.758032708,0.982972088,0.865098731,0.785372748,SIRA
0.780001216,135409,413.441268,0.789683894,0.991448131,0.871246402,0.789569049,BOMBAY
0.854880123,57445,267.6661898,0.766621253,0.979545652,0.834559148,0.7154948,CALI
0.637330955,34376,208.3655327,0.800671551,0.991942053,0.954104179,0.87632418,SIRA
0.702474661,21820,165.721987,0.81245998,0.988542621,0.934894907,0.843208918,DERMASON
0.482352224,31520,199.2412169,0.764110482,0.989149746,0.965899596,0.935510513,SEKER
0.684824768,34002,206.9399402,0.797524482,0.989177107,0.940052172,0.852745316,SIRA
0.750920218,42005,229.8350762,0.708433653,0.987691941,0.903685555,0.811728551,BARBUNYA
0.517871223,31573,199.3178875,0.779192888,0.988249454,0.944079243,0.924305534,SEKER
0.857688897,36592,214.5196888,0.761980056,0.987729558,0.83618548,0.715327161,HOROZ
0.734332324,139249,419.544667,0.797365264,0.992782713,0.891810581,0.8215392,BOMBAY
0.469924157,31474,199.1773023,0.781313473,0.989959967,0.952623101,0.939218858,SEKER
0.807721576,36088,212.4950993,0.822182037,0.982708934,0.809475706,0.763989053,HOROZ
0.708704064,56736,266.3596327,0.779274177,0.98212775,0.869133231,0.835160323,CALI
0.783572436,132831,408.7926333,0.81498845,0.98809013,0.872498937,0.784406072,BOMBAY
0.836231556,54769,262.5440329,0.763245453,0.988460626,0.829865519,0.736670683,CALI
0.51408086,31044,197.659696,0.771561479,0.988435769,0.954239808,0.925658498,SEKER
0.7926811,56563,266.956483,0.80088141,0.989551474,0.873417943,0.779453383,CALI
0.562727317,29690,193.4109041,0.778113248,0.989558774,0.947849473,0.908774239,SEKER
0.838382964,54085,261.2605955,0.795385757,0.991199039,0.843919906,0.736514979,CALI
0.813672998,36979,215.4524711,0.679223489,0.985910922,0.857109025,0.759440463,HOROZ
0.733590829,138093,418.1980839,0.798073348,0.9946775,0.926881995,0.82324744,BOMBAY
0.56099452,31604,199.8664991,0.769196823,0.99272244,0.973459862,0.909040279,SEKER
0.806845832,22502,167.9807572,0.727601037,0.984890232,0.863008564,0.765855549,DERMASON
0.589564969,32052,201.2536289,0.773877293,0.992480968,0.969600136,0.898515141,SEKER
0.720363573,52139,256.4252519,0.786066547,0.990486968,0.886661697,0.832561383,CALI
0.757604032,36265,213.7050052,0.70792216,0.989080381,0.905515107,0.806992823,HOROZ
0.782916503,35416,210.0968075,0.747670807,0.978879602,0.876723572,0.783141079,SIRA
0.749867638,35144,210.0271031,0.772877348,0.985801275,0.882555487,0.81040749,SIRA
0.507365875,31423,199.0142269,0.761046142,0.989943672,0.952581757,0.927163162,SEKER
0.663688248,21737,165.0869239,0.724414512,0.984726503,0.94004939,0.863412178,DERMASON
0.746245739,48950,247.6271723,0.754043433,0.983861083,0.880120509,0.813149998,BARBUNYA
0.631298586,20825,161.7483421,0.759686483,0.986698679,0.937772948,0.87923312,DERMASON
0.738655623,49543,248.8530188,0.776865576,0.98173304,0.798915933,0.819655033,BARBUNYA
0.833792348,35278,209.8481901,0.687608104,0.980384376,0.821387491,0.74010274,HOROZ
0.825970469,34420,207.9220419,0.799481987,0.98646136,0.830549278,0.7496239,HOROZ
