Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,Class
0.731566018,139826,420.1739188,0.71073283,0.991653913,0.869712301,0.824149152,BOMBAY
0.702876202,132905,409.1646628,0.793367686,0.989338249,0.882624263,0.842088861,BOMBAY
0.651285139,43087,231.2819486,0.770975556,0.975050479,0.80511859,0.867197618,BARBUNYA
0.634654708,20684,161.2437642,0.790186518,0.987236511,0.931235461,0.878228437,DERMASON
0.627811941,22078,166.4732169,0.735959425,0.985868285,0.948968581,0.881187575,DERMASON
0.786137994,143275,419.2638528,0.767369603,0.963594486,0.814246128,0.775441188,BOMBAY
0.731212456,131148,406.5407797,0.806314756,0.989774911,0.886722008,0.824221968,BOMBAY
0.653199406,48828,247.0609313,0.760107817,0.981813713,0.824570213,0.869462035,BARBUNYA
0.759385013,50027,249.5606386,0.708656284,0.977772003,0.768253994,0.804806975,BARBUNYA
0.660183685,21993,165.9753319,0.761187729,0.983767562,0.913298285,0.866038456,DERMASON
0.717368823,22006,166.2436091,0.791034985,0.986367354,0.914338368,0.834039644,DERMASON
0.732938729,134325,411.3387045,0.789361449,0.989309511,0.885187446,0.823259465,BOMBAY
0.446621924,31458,198.9630385,0.786377317,0.988333651,0.958172836,0.945254305,SEKER
0.81420382,34773,209.3257406,0.634195784,0.989675898,0.863378475,0.757071638,HOROZ
0.698963474,22424,167.9655972,0.743656867,0.98813771,0.946331753,0.845003102,DERMASON
0.839148028,37023,215.8244553,0.704975527,0.988142506,0.858438369,0.736252323,HOROZ
0.755768822,44639,236.7634208,0.756217795,0.986290015,0.835330551,0.807042115,BARBUNYA
0.636987114,46074,241.1301662,0.748377581,0.99114468,0.920029115,0.87727287,CALI
0.645190802,32045,200.702465,0.761823348,0.987267905,0.921842182,0.873685862,SEKER
0.768786946,48758,247.6400264,0.806905564,0.987837893,0.889914711,0.798784661,BARBUNYA
0.482352224,31520,199.2412169,0.764110482,0.989149746,0.965899596,0.935510513,SEKER
0.489477894,30970,196.9886332,0.762401501,0.984081369,0.853079869,0.933373552,SEKER
0.808277868,56517,265.9458281,0.806437095,0.98287241,0.834504078,0.763145948,CALI
0.720363573,52139,256.4252519,0.786066547,0.990486968,0.886661697,0.832561383,CALI
0.755496838,35028,209.8694251,0.767369122,0.987581363,0.893474724,0.808028914,SIRA
0.683293252,21191,163.29171,0.742360865,0.988249729,0.934453442,0.854141008,DERMASON
0.767021759,47446,244.0379201,0.793909974,0.98583653,0.845613391,0.798282033,BARBUNYA
0.799162267,51704,254.7089472,0.733805697,0.985494352,0.854260064,0.771481824,CALI
0.848828915,33354,204.9988888,0.635476232,0.989566469,0.821636048,0.724325525,HOROZ
0.724333972,22701,168.0868392,0.773602008,0.977489978,0.87463212,0.828088658,DERMASON
0.840035139,33989,206.2404264,0.809866667,0.982876813,0.841714592,0.732556199,HOROZ
0.695218639,22445,167.9125263,0.720059832,0.986589441,0.895042737,0.843260469,DERMASON
0.791583671,33892,206.6998456,0.774071511,0.990086156,0.887505501,0.781087802,HOROZ
0.822571799,48753,246.9140116,0.758446454,0.982154944,0.788550662,0.752789721,BARBUNYA
0.805825541,42483,229.8323062,0.68917572,0.976555328,0.783155548,0.76854952,BARBUNYA
0.676813217,43812,234.379863,0.766123304,0.98477586,0.848367064,0.857268978,BARBUNYA
0.825970469,34420,207.9220419,0.799481987,0.98646136,0.830549278,0.7496239,HOROZ
0.846018499,34358,207.8393563,0.756050274,0.987455614,0.84660411,0.727007665,HOROZ
0.752082735,34101,207.2627053,0.771353452,0.989384476,0.898568612,0.810239193,SIRA
0.75676727,22426,167.6279318,0.683801202,0.984080977,0.879543694,0.805776172,DERMASON
0.86664487,34936,208.7714925,0.604602695,0.979848866,0.776447789,0.702997863,HOROZ
0.771676595,35221,210.5719999,0.716962098,0.988756708,0.880671477,0.795831652,SIRA
0.725671568,22029,166.7177833,0.731029402,0.990966453,0.929377563,0.828009197,DERMASON
0.660951387,54907,263.0430698,0.74044855,0.989728086,0.907244614,0.865706234,CALI
0.677264398,21731,165.0560709,0.772650128,0.984630252,0.937880736,0.857299205,DERMASON
0.780001216,135409,413.441268,0.789683894,0.991448131,0.871246402,0.789569049,BOMBAY
0.813672998,36979,215.4524711,0.679223489,0.985910922,0.857109025,0.759440463,HOROZ
0.56099452,31604,199.8664991,0.769196823,0.99272244,0.973459862,0.909040279,SEKER
0.52126839,32197,200.499357,0.756964757,0.980619312,0.873118507,0.922654737,SEKER
0.838382964,54085,261.2605955,0.795385757,0.991199039,0.843919906,0.736514979,CALI
0.80697124,53082,258.4160747,0.789190165,0.988056215,0.84632069,0.766905623,CALI
0.805173976,55293,262.3960778,0.770050125,0.977989981,0.85025672,0.765578052,CALI
0.676036664,135151,412.6845302,0.744567154,0.989707808,0.895903257,0.857507084,BOMBAY
0.702311275,133434,410.5796421,0.789965454,0.992243356,0.93230298,0.84332253,BOMBAY
0.707419363,21808,165.6758827,0.728926458,0.988536317,0.930872445,0.839919403,DERMASON
0.734332324,139249,419.544667,0.797365264,0.992782713,0.891810581,0.8215392,BOMBAY
0.696795094,115298,380.9913399,0.748986604,0.988776909,0.875280258,0.844094027,BOMBAY
0.756504273,139153,418.4415798,0.778239315,0.988250343,0.859510632,0.805035938,BOMBAY
0.810531519,57032,267.9181826,0.682650392,0.988497686,0.834364582,0.763969406,CALI
0.772624311,137618,415.2113366,0.787849695,0.983904722,0.890965798,0.793515586,BOMBAY
0.729969108,22107,166.8971585,0.747165301,0.989596056,0.93516494,0.826157484,DERMASON
0.709234078,131860,406.9524144,0.751536933,0.986424996,0.88082047,0.836135618,BOMBAY
0.747372158,45972,240.7020819,0.737779075,0.98981989,0.908356725,0.814641825,CALI
0.698972458,34685,208.8019839,0.824710983,0.987227908,0.924902194,0.84323766,SIRA
0.833792348,35278,209.8481901,0.687608104,0.980384376,0.821387491,0.74010274,HOROZ
0.765824168,35181,210.2452313,0.815527367,0.986811063,0.889912971,0.80088478,SIRA
0.744255376,34724,208.7897879,0.724889905,0.986003917,0.880955642,0.816129544,SIRA
0.758895493,134466,411.2798886,0.686341468,0.987989529,0.89017622,0.803319079,BOMBAY
0.774593661,46601,241.0958418,0.772431179,0.979657089,0.810869331,0.794464844,BARBUNYA
0.709734019,136192,414.9337269,0.772423484,0.992877702,0.9031499,0.838076565,BOMBAY
0.695619842,34281,207.7106689,0.811422414,0.988448412,0.92081297,0.846329145,SIRA
0.873331364,36384,213.3651329,0.779315606,0.982712181,0.78429179,0.69588722,HOROZ
0.711574669,34559,208.6403288,0.730066197,0.989293672,0.909628874,0.837703963,SIRA
0.783572436,132831,408.7926333,0.81498845,0.98809013,0.872498937,0.784406072,BOMBAY
0.785662138,32065,200.3278244,0.758032708,0.982972088,0.865098731,0.785372748,SIRA
0.402841974,32026,200.8451524,0.773184303,0.989258727,0.951893863,0.956197485,SEKER
0.719791885,21762,165.3720417,0.736692276,0.986995681,0.912320593,0.832564076,DERMASON
0.762609219,34165,206.6505609,0.72522055,0.981706425,0.865800929,0.802560288,SIRA
0.806845832,22502,167.9807572,0.727601037,0.984890232,0.863008564,0.765855549,DERMASON
0.631298586,20825,161.7483421,0.759686483,0.986698679,0.937772948,0.87923312,DERMASON
0.640764092,33185,204.535649,0.775569456,0.990116016,0.925011278,0.874813102,SIRA
0.504102365,31280,198.4055115,0.770805285,0.988395141,0.94625818,0.929038343,SEKER
0.614702534,21877,166.0903609,0.810913991,0.990355168,0.964449616,0.887383514,DERMASON
0.76166164,139207,419.0071608,0.782239216,0.990539269,0.871201054,0.802407376,BOMBAY
0.766746577,45841,239.3972815,0.779820169,0.981915752,0.775271133,0.799890952,BARBUNYA
0.807721576,36088,212.4950993,0.822182037,0.982708934,0.809475706,0.763989053,HOROZ
0.798033715,58127,269.437004,0.791572956,0.980903883,0.877609255,0.770233948,CALI
0.767494559,135500,413.0730902,0.76070569,0.98901845,0.876895924,0.79780047,BOMBAY
0.759942754,138970,417.8280031,0.789974016,0.986651795,0.846082671,0.804753869,BOMBAY
0.77339676,21932,165.8448692,0.745282042,0.984953493,0.870766423,0.795330424,DERMASON
0.702983339,34931,208.5090825,0.762664165,0.977527125,0.688618305,0.841913723,SIRA
0.86629575,34990,209.2131827,0.703855367,0.982480709,0.796490665,0.701894861,HOROZ
0.723451399,32462,201.0637431,0.69428409,0.978097468,0.883771295,0.82368498,SIRA
0.709831188,130688,405.9170559,0.79933414,0.990213333,0.893763394,0.838040607,BOMBAY
0.738655623,49543,248.8530188,0.776865576,0.98173304,0.798915933,0.819655033,BARBUNYA
0.708704064,56736,266.3596327,0.779274177,0.98212775,0.869133231,0.835160323,CALI
0.729431915,47996,244.9986364,0.717986598,0.982227686,0.803681099,0.825338415,BARBUNYA
0.702474661,21820,165.721987,0.81245998,0.988542621,0.934894907,0.843208918,DERMASON
0.864011494,51042,252.0153467,0.726021017,0.977273618,0.788689675,0.705551806,CALI
0.732216518,35078,209.4625539,0.752544224,0.982353612,0.887774832,0.82433341,SIRA
0.498615976,30724,195.4670618,0.782681273,0.976695743,0.903936374,0.928328835,SEKER
0.767534855,33692,205.9655193,0.698695634,0.988899442,0.88228562,0.799975144,SIRA
0.778937554,33583,205.6190466,0.752663312,0.988774082,0.901298102,0.790569355,SIRA
0.411785251,29172,191.2727505,0.783968133,0.984985603,0.887033637,0.953860842,SEKER
0.746417718,22532,168.1436412,0.725274366,0.985487307,0.875843707,0.812655468,DERMASON
0.513759558,30847,197.1243203,0.770681818,0.989366875,0.967109244,0.925480392,SEKER
0.832401765,56205,265.9338588,0.769137033,0.98823948,0.817192715,0.74346187,CALI
0.562727317,29690,193.4109041,0.778113248,0.989558774,0.947849473,0.908774239,SEKER
0.52040066,30600,196.3477022,0.775688485,0.989509804,0.943851783,0.923725952,SEKER
0.496263281,32093,200.9117052,0.777110501,0.987847817,0.92490856,0.931401991,SEKER
0.852313703,37393,216.4577141,0.711352961,0.984114674,0.802164976,0.72003693,HOROZ
0.744514487,22267,167.2172648,0.780419332,0.986257691,0.906697265,0.816584995,DERMASON
0.739531344,139739,419.5765313,0.754836984,0.989451764,0.891383938,0.818196832,BOMBAY
0.772989921,49648,249.4407145,0.695877536,0.984289397,0.78353324,0.795334575,BARBUNYA
0.763205878,129274,403.8872417,0.782247133,0.991057753,0.870273946,0.801323883,BOMBAY
0.779529536,44074,234.3173823,0.731985538,0.978399964,0.77130821,0.790532235,BARBUNYA
0.807779129,56288,266.0870245,0.759495746,0.987919272,0.827912767,0.763630092,CALI
0.690678219,32009,200.8229633,0.740935673,0.989565435,0.92092896,0.848239622,SEKER
0.684609702,33564,205.5385319,0.774835365,0.988559171,0.927479302,0.852964925,SIRA
0.74497456,48091,245.0142267,0.720767408,0.980412135,0.805418604,0.815931086,BARBUNYA
0.831240405,34023,206.5827753,0.808383378,0.9851571,0.852376909,0.744250942,HOROZ
0.795023273,33812,206.4101297,0.827284415,0.989648645,0.88337049,0.777527201,SIRA
0.78993026,49662,249.3462657,0.789009355,0.983266884,0.808350965,0.781768768,BARBUNYA
0.637330955,34376,208.3655327,0.800671551,0.991942053,0.954104179,0.87632418,SIRA
0.807579349,34437,208.5670852,0.772614202,0.992101519,0.893182322,0.76636993,HOROZ
0.469924157,31474,199.1773023,0.781313473,0.989959967,0.952623101,0.939218858,SEKER
0.77569004,49026,248.1741657,0.806539282,0.986680537,0.892789726,0.791446362,CALI
0.72258815,49720,250.4010411,0.777225379,0.9904465,0.914429543,0.830812974,CALI
0.616011296,21462,163.9104256,0.746356819,0.983179573,0.930929662,0.88417697,DERMASON
0.848053424,36549,213.4933939,0.728608646,0.979452242,0.814563628,0.723441765,HOROZ
0.750920218,42005,229.8350762,0.708433653,0.987691941,0.903685555,0.811728551,BARBUNYA
0.510946829,31558,199.3210815,0.762984155,0.988750871,0.957948542,0.926782809,SEKER
0.684490151,50168,250.2001108,0.775978535,0.980027109,0.84253974,0.851670933,BARBUNYA
0.787663356,34420,208.1576685,0.740738322,0.988698431,0.893556882,0.783810022,SIRA
0.831240405,34023,206.5827753,0.808383378,0.9851571,0.852376909,0.744250942,HOROZ
0.686387682,22438,168.2269163,0.719786269,0.99059631,0.942420897,0.849960135,DERMASON
0.691669153,21587,164.7356296,0.76208524,0.9873535,0.928065363,0.849323486,DERMASON
0.864911383,36969,215.8981855,0.636235662,0.990262111,0.821285574,0.707161692,HOROZ
0.857688897,36592,214.5196888,0.761980056,0.987729558,0.83618548,0.715327161,HOROZ
0.827898128,55370,263.8574204,0.756607168,0.987538378,0.848697943,0.746250305,CALI
0.84877176,35769,211.519182,0.641409901,0.982386983,0.819614266,0.722866958,HOROZ
0.626723197,48528,246.6844357,0.738131274,0.984874712,0.864599066,0.882104118,BARBUNYA
0.815887951,57649,269.437004,0.66864856,0.989037104,0.878188425,0.758264201,CALI
0.693787968,48451,247.1665564,0.769777478,0.990299478,0.9210594,0.84746509,BARBUNYA
0.706720051,138869,418.7913571,0.809463366,0.991927644,0.896384428,0.838638486,BOMBAY
0.782916503,35416,210.0968075,0.747670807,0.978879602,0.876723572,0.783141079,SIRA
0.806059118,56664,266.8753897,0.73155995,0.987187632,0.848980993,0.768481039,CALI
0.507365875,31423,199.0142269,0.761046142,0.989943672,0.952581757,0.927163162,SEKER
0.553642225,31120,198.1390121,0.783682806,0.990809769,0.97027823,0.91212543,SEKER
0.811477467,34108,205.7954494,0.672740879,0.975225753,0.807831848,0.758443949,HOROZ
