city,year,month,sales,volume,median,listings,inventory,date
Victoria,2015,6,100,18920746,174300,299,3.8,2015.416667
Harlingen,2015,6,93,12099797,120800,1724,20.1,2015.416667
South Padre Island,2015,6,40,8665950,166700,728,19.3,2015.416667
Austin,2015,6,3301,1086689918,270200,7419,2.8,2015.416667
Midland,2015,6,218,63667557,257700,797,4.9,2015.416667
Killeen-Fort Hood,2015,6,277,41102980,135900,1361,5.6,2015.416667
Fort Worth,2015,6,1287,248314498,159300,2221,2.2,2015.416667
San Antonio,2015,6,2919,701375402,199400,9105,4,2015.416667
Garland,2015,6,212,35772714,154800,208,1.2,2015.416667
Nacogdoches,2015,6,36,5718840,140000,291,10.2,2015.416667
Lufkin,2015,6,70,12051050,160000,408,7.5,2015.416667
Dallas,2015,6,6532,1960556658,242300,11014,2.2,2015.416667
Brownsville,2015,6,82,11833474,115000,744,10.7,2015.416667
Denton County,2015,6,1125,306978637,238000,1635,2,2015.416667
Bryan-College Station,2015,6,403,84025416,187400,939,3.5,2015.416667
Montgomery County,2015,6,1032,350936735,256300,3305,4.3,2015.416667
Irving,2015,6,194,46433702,193300,325,2.2,2015.416667
Tyler,2015,6,422,82254422,170000,2574,7.5,2015.416667
Paris,2015,6,49,6238350,121100,290,8.1,2015.416667
Lubbock,2015,6,425,72529370,141400,1047,3.2,2015.416667
Bay Area,2015,6,780,182248573,200700,2116,3.2,2015.416667
Fort Bend,2015,6,1341,429731131,284200,3166,3,2015.416667
Houston,2015,6,8449,2490238594,222400,22311,3.2,2015.416667
Odessa,2015,6,107,20320574,176800,245,2.5,2015.416667
San Marcos,2015,6,39,8808027,190000,101,4,2015.416667
Corpus Christi,2015,6,493,104904076,189600,2133,5.4,2015.416667
Wichita Falls,2015,6,143,18820752,118800,770,6.2,2015.416667
NE Tarrant County,2015,6,1128,364781158,241400,1451,1.8,2015.416667
Laredo,2015,6,106,18468901,154300,556,5.6,2015.416667
Port Arthur,2015,6,79,10864768,118900,513,7.2,2015.416667
San Angelo,2015,6,158,31155867,175400,547,4.2,2015.416667
McAllen,2015,6,170,21855944,118000,2175,12.8,2015.416667
Sherman-Denison,2015,6,163,25104282,130000,534,4.1,2015.416667
Brazoria County,2015,6,137,25772571,173100,285,2.6,2015.416667
Temple-Belton,2015,6,213,35933886,148900,858,5.5,2015.416667
Collin County,2015,6,1789,614959441,300400,2314,1.7,2015.416667
Beaumont,2015,6,296,48007961,145200,1567,6.7,2015.416667
Amarillo,2015,6,342,61748196,152100,1213,4.4,2015.416667
El Paso,2015,6,689,118116401,147700,4105,7.6,2015.416667
Longview-Marshall,2015,6,254,43893511,149400,1889,9.5,2015.416667
Waco,2015,6,280,49171360,151800,999,4.5,2015.416667
Galveston,2015,6,111,27475690,206900,635,7,2015.416667
Texarkana,2015,6,152,22132772,131100,701,7.5,2015.416667
Kerrville,2015,6,81,16859871,175000,648,10.4,2015.416667
Abilene,2015,6,260,41396230,141500,965,5,2015.416667
Arlington,2015,6,522,105881452,180000,682,1.6,2015.416667
